date,time,symbol,name,action,side,quantity,price,gross_amount,commission,stamp_tax,transfer_fee,total_cost,net_amount,reason,strategy_tag,status,notes
2026-06-23,13:04,002230,科大讯飞,买入,BUY,300,42.7013,12810.4,5.0,0.0,0.13,5.13,-12815.53,按用户要求新增AI科技股；系统风控提示高风险观察，因此仅小仓纸面训练买入,diversified-paper-6-ai-v1,已成交,训练/研究纸面买入，不构成投资建议；若跌破42.50或无法收回MA20则优先止损/降仓复核；时间更正：原记录 12:49 为午间决策/记录时间，非A股连续竞价成交时间；纸面成交按午后可交易时段 13:04 记录。
2026-06-23,13:00,300750,宁德时代,买入,BUY,100,401.7908,40179.08,12.05,0.0,0.4,12.46,-40191.54,补足至少5只纸面持仓：新能源类别，小仓训练；系统评分偏弱，仅做分散组合训练,diversified-paper-5-v1,已成交,训练/研究纸面买入，不构成投资建议；若跌破MA20且edge低于50%则复核止损；时间更正：原记录 12:45 为午间决策/记录时间，非A股连续竞价成交时间；纸面成交按午后可交易时段 13:00 记录。
2026-06-23,13:01,600036,招商银行,买入,BUY,1000,37.7989,37798.89,11.34,0.0,0.38,11.72,-37810.61,补足至少5只纸面持仓：银行类别，低波动样本，小仓训练,diversified-paper-5-v1,已成交,训练/研究纸面买入，不构成投资建议；弱动能下不得加仓；时间更正：原记录 12:46 为午间决策/记录时间，非A股连续竞价成交时间；纸面成交按午后可交易时段 13:01 记录。
2026-06-23,13:03,600941,中国移动,买入,BUY,400,90.9955,36398.19,10.92,0.0,0.36,11.28,-36409.47,补足至少5只纸面持仓：通信运营商类别，防守样本，小仓训练,diversified-paper-5-v1,已成交,训练/研究纸面买入，不构成投资建议；弱趋势反弹失败则退出观察；时间更正：原记录 12:48 为午间决策/记录时间，非A股连续竞价成交时间；纸面成交按午后可交易时段 13:03 记录。
2026-06-23,13:02,688981,中芯国际,买入,BUY,200,144.092,28818.4,8.65,0.0,0.29,8.93,-28827.34,补足至少5只纸面持仓：半导体硬科技类别，复权一致性保守，小仓训练,diversified-paper-5-v1,已成交,训练/研究纸面买入，不构成投资建议；高波动和普通日线数据要求更严止损；时间更正：原记录 12:47 为午间决策/记录时间，非A股连续竞价成交时间；纸面成交按午后可交易时段 13:02 记录。
2026-06-24,10:07,300750,宁德时代,卖出,SELL,30,389.755,11692.65,5.0,5.85,0.12,10.96,11681.69,按用户要求延续昨日交易频次；300750评分36.6、弱于MA20/MA60，纸面减仓验证止损纪律,continue-frequency-20260624-v1,已成交,训练/研究纸面卖出，不构成投资建议；保留70股，10:30复核是否收回390和今开392。
2026-06-24,10:08,600036,招商银行,卖出,SELL,300,37.0815,11124.44,5.0,5.56,0.11,10.67,11113.76,按用户要求延续昨日交易频次；600036早盘-0.80%且弱于今开，低波动样本纸面降仓,continue-frequency-20260624-v1,已成交,训练/研究纸面卖出，不构成投资建议；保留700股，若10:30不能收回37.49则不回补。
2026-06-24,10:06,600519,贵州茅台,卖出,SELL,30,1215.2721,36458.16,10.94,18.23,0.36,29.53,36428.63,按用户要求延续昨日交易频次；600519评分39且近120日回撤超20%，纸面减仓控制单票权重,continue-frequency-20260624-v1,已成交,训练/研究纸面卖出，不构成投资建议；保留70股连续持仓，10:30复核是否收回今开1222.65，否则继续降风险。
2026-06-24,10:09,600941,中国移动,卖出,SELL,100,89.6552,8965.52,5.0,4.48,0.09,9.57,8955.94,按用户要求延续昨日交易频次；600941早盘-0.91%且跌破昨日成本，纸面降低防守仓,continue-frequency-20260624-v1,已成交,训练/研究纸面卖出，不构成投资建议；保留300股，10:30复核是否收回90.52。
2026-06-24,10:10,688981,中芯国际,买入,BUY,100,148.7443,14874.43,5.0,0.0,0.15,5.15,-14879.58,按用户要求延续昨日交易频次；688981早盘+4.92%为当前组合唯一明显转强样本，纸面小幅加仓验证强者留存,continue-frequency-20260624-v1,已成交,训练/研究纸面买入，不构成投资建议；普通日线非前复权，复权一致性需二次确认；若跌回141.50今开下方则撤销加仓逻辑。
2026-06-26,09:30,002230,未知,卖出,SELL,100,40.3498,4034.98,5.0,2.02,0.04,7.06,4027.92,评分 38.5 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
2026-06-26,09:30,600036,未知,卖出,SELL,200,36.0919,7218.39,5.0,3.61,0.07,8.68,7209.71,评分 42.9 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
2026-06-26,09:30,600519,贵州茅台,卖出,SELL,70,1185.397,82977.79,24.89,41.49,0.83,67.21,82910.58,评分 38.6 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
2026-06-30,09:30,002230,未知,卖出,SELL,100,40.5097,4050.97,5.0,2.03,0.04,7.07,4043.91,评分 30.5 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
2026-06-30,09:30,300750,宁德时代,卖出,SELL,70,392.1738,27452.17,8.24,13.73,0.27,22.24,27429.93,评分 28.2 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
2026-06-30,09:30,600036,未知,卖出,SELL,100,35.912,3591.2,5.0,1.8,0.04,6.83,3584.37,评分 42.6 低于退出阈值 45.0，按分层减仓 33% 处理,score-standard-v1,filled,paper_execute 自动纸面执行；非真实交易
